7-Zip 23.01 (x64) (Versiyon: 23.01, Yayıncı: Igor Pavlov)
Node.js (Versiyon: 20.5.1, Yayıncı: Node.js Foundation)
Npcap (Versiyon: 1.71, Yayıncı: Nmap Project)
Nvidia Share (Versiyon: 3.27.0.112, Yayıncı: NVIDIA Corporation)
OBS Studio (Versiyon: 29.1.3, Yayıncı: OBS Project)
Office 16 Click-to-Run Extensibility Component (Versiyon: 16.0.16827.20130, Yayıncı: Microsoft Corporation)
Office 16 Click-to-Run Licensing Component (Versiyon: 16.0.16827.20130, Yayıncı: Microsoft Corporation)
Office 16 Click-to-Run Localization Component (Versiyon: 16.0.14131.20278, Yayıncı: Microsoft Corporation)
Oracle VM VirtualBox 7.0.6 (Versiyon: 7.0.6, Yayıncı: Oracle and/or its affiliates)
PHISON HAL (Versiyon: 1.0.6.0, Yayıncı: PHISON Electronics Corp.)
Patriot Viper DRAM RGB (Versiyon: 1.0.9.1, Yayıncı: Patriot Memory)
Patriot Viper M2 SSD RGB (Versiyon: 1.0.6.3, Yayıncı: Patriot Memory)
PostgreSQL 14  (Versiyon: 14, Yayıncı: PostgreSQL Global Development Group)
PowerToys (Preview) (Versiyon: 0.73.0, Yayıncı: Microsoft Corporation)
PowerToys (Preview) x64 (Versiyon: 0.73.0, Yayıncı: Microsoft Corporation)
PunkBuster Services (Versiyon: 0.991, Yayıncı: Even Balance, Inc.)
Python 3.10.0 Add to Path (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 Core Interpreter (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 Development Libraries (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 Documentation (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 Executables (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 Standard Library (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 Tcl/Tk Support (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 Test Suite (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 Utility Scripts (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.10.0 pip Bootstrap (64-bit) (Versiyon: 3.10.150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Add to Path (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Core Interpreter (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Development Libraries (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Documentation (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Executables (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Standard Library (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Tcl/Tk Support (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Test Suite (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 Utility Scripts (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python 3.11.5 pip Bootstrap (64-bit) (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
Python Launcher (Versiyon: 3.11.5150.0, Yayıncı: Python Software Foundation)
ROG CLAYMORE (Versiyon: 3.02.20, Yayıncı: ASUSTek Computer Inc.)
ROG FUSION II 500 (Versiyon: 4.01.00, Yayıncı: ASUSTek Computer Inc.)
ROG FUSION II 500 (PlayStation) (Versiyon: 4.01.00, Yayıncı: ASUSTek Computer Inc.)
ROG Live Service (Versiyon: 2.1.5.0, Yayıncı: ASUSTek COMPUTER INC.)
ROG STRIX FUSION 300 (Versiyon: 3.00.11, Yayıncı: ASUSTek Computer Inc.)
Realtek High Definition Audio Driver (Versiyon: 6.0.9205.1, Yayıncı: Realtek Semiconductor Corp.)
Recuva (Versiyon: 1.53, Yayıncı: Piriform)
Rockstar Games Launcher (Versiyon: 1.0.77.1590, Yayıncı: Rockstar Games)
Rockstar Games Social Club (Versiyon: 2.1.9.8, Yayıncı: Rockstar Games)
SDK ARM Additions (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
SDK ARM Redistributables (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
SQLiteStudio (Versiyon: 3.4.4, Yayıncı: sqlitestudio.pl)
ShareX (Versiyon: 15.0.0, Yayıncı: ShareX Team)
SpotiFlyer (Versiyon: 3.6.3, Yayıncı: Shabinder)
Steam (Versiyon: 2.10.91.91, Yayıncı: Valve Corporation)
Streamlabs OBS 0.27.1 (Versiyon: 0.27.1, Yayıncı: General Workings, Inc.)
Studio 3T (Versiyon: 2023.1.1, Yayıncı: 3T Software Labs)
TLauncher (Versiyon: 2.86, Yayıncı: TLauncher Inc.)
TeamViewer (Versiyon: 15.46.7, Yayıncı: TeamViewer)
Teams Machine-Wide Installer (Versiyon: 1.3.0.28779, Yayıncı: Microsoft Corporation)
UXP WebView Support (Versiyon: 1.1.0, Yayıncı: Adobe Inc.)
Ubisoft Connect (Versiyon: 119.0.10382, Yayıncı: Ubisoft)
Unity 2021.3.21f1 (Versiyon: 2021.3.21f1, Yayıncı: Unity Technologies ApS)
Unity Hub 3.4.1 (Versiyon: 3.4.1, Yayıncı: Unity Technologies Inc.)
Universal CRT Extension SDK (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Universal CRT Headers Libraries and Sources (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Universal CRT Redistributable (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Universal CRT Tools x64 (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Universal CRT Tools x86 (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Universal General MIDI DLS Extension SDK (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Universal Holtek RGB DRAM (Versiyon: 1.0.0.1, Yayıncı: PD)
Update for Windows 10 for x64-based Systems (KB5001716) (Versiyon: 8.91.0.0, Yayıncı: Microsoft Corporation)
VLC media player (Versiyon: 3.0.18, Yayıncı: VideoLAN)
VS Immersive Activate Helper (Versiyon: 17.0.125.0, Yayıncı: Microsoft Corporation)
VS JIT Debugger (Versiyon: 17.0.125.0, Yayıncı: Microsoft Corporation)
VS Script Debugging Common (Versiyon: 17.0.125.0, Yayıncı: Microsoft Corporation)
VirtualCloneDrive (Versiyon: 5.5.2.0, Yayıncı: Elaborate Bytes)
Visual Studio Community 2022 (Versiyon: 17.7.3, Yayıncı: Microsoft Corporation)
WD_BLACK AN1500 (Versiyon: 1.0.12.0, Yayıncı: ENE TECHNOLOGY INC.)
WinAppDeploy (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinHTTrack Website Copier 3.49-2 (x64) (Versiyon: 3.49.2, Yayıncı: HTTrack)
WinRAR 6.23 (64-bit) (Versiyon: 6.23.0, Yayıncı: win.rar GmbH)
WinRT Intellisense Desktop - Other Languages (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinRT Intellisense Desktop - en-us (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinRT Intellisense IoT - Other Languages (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinRT Intellisense IoT - en-us (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinRT Intellisense Mobile - en-us (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinRT Intellisense PPI - Other Languages (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinRT Intellisense PPI - en-us (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinRT Intellisense UAP - Other Languages (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
WinRT Intellisense UAP - en-us (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows 11 Installation Assistant (Versiyon: 1.4.19041.2063, Yayıncı: Microsoft Corporation)
Windows 7 USB/DVD Download Tool (Versiyon: 1.0.30, Yayıncı: Microsoft Corporation)
Windows App Certification Kit Native Components (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows App Certification Kit SupportedApiList x86 (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows App Certification Kit x64 (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows Desktop Extension SDK (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows Desktop Extension SDK Contracts (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows Driver Package - SAMSUNG Electronics Co., Ltd.  (WinUSB) AndroidUsbDeviceClass  (12/02/2015 2.12.1.0) (Versiyon: 12/02/2015 2.12.1.0, Yayıncı: SAMSUNG Electronics Co., Ltd. )
Windows Driver Package - SAMSUNG Electronics Co., Ltd.  (dg_ssudbus) USB  (12/02/2015 2.12.1.0) (Versiyon: 12/02/2015 2.12.1.0, Yayıncı: SAMSUNG Electronics Co., Ltd. )
Windows Driver Package - SAMSUNG Electronics Co., Ltd.  (ssudmdm) Modem  (12/02/2015 2.12.1.0) (Versiyon: 12/02/2015 2.12.1.0, Yayıncı: SAMSUNG Electronics Co., Ltd. )
Windows IoT Extension SDK (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows IoT Extension SDK Contracts (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows Mobile Extension SDK (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows Mobile Extension SDK Contracts (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows PC Health Check (Versiyon: 3.7.2204.15001, Yayıncı: Microsoft Corporation)
Windows SDK (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows SDK ARM Desktop Tools (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK AddOn (Versiyon: 10.1.0.0, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Headers arm (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Headers arm64 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Headers x64 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Headers x86 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Libs arm (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Libs arm64 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Libs x64 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Libs x86 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Tools arm64 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Tools x64 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Desktop Tools x86 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK DirectX x64 Remote (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows SDK DirectX x86 Remote (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows SDK EULA (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporations)
Windows SDK Facade Windows WinMD Versioned (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Modern Non-Versioned Developer Tools (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows SDK Modern Versioned Developer Tools (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK Redistributables (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows SDK Signing Tools (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK for Windows Store Apps (Versiyon: 10.1.22621.1778, Yayıncı: Microsoft Corporation)
Windows SDK for Windows Store Apps Contracts (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK for Windows Store Apps DirectX x86 Remote (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK for Windows Store Apps Headers (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK for Windows Store Apps Libs (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK for Windows Store Apps Metadata (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK for Windows Store Apps Tools (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows SDK for Windows Store Managed Apps Libs (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows Software Development Kit - Windows 10.0.22000.832 (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows Team Extension SDK (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Windows Team Extension SDK Contracts (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Wireshark 4.0.8 64-bit (Versiyon: 4.0.8, Yayıncı: The Wireshark developer community, https://www.wireshark.org)
Xilinx Design Tools Vivado WebPACK 2015.1 (C:\Xilinx) (Versiyon: 2015.1, Yayıncı: Xilinx Inc.)
Xilinx DocNav (C:\Xilinx) (Versiyon: 2015.1, Yayıncı: Xilinx Inc.)
Xilinx Information Center (C:\Xilinx) (Versiyon: 2015.1, Yayıncı: Xilinx Inc.)
Zoom(32bit) (Versiyon: 5.13.12053, Yayıncı: Zoom)
icecap_collection_neutral (Versiyon: 17.7.33906, Yayıncı: Microsoft Corporation)
icecap_collection_x64 (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
icecap_collectionresources (Versiyon: 17.7.33906, Yayıncı: Microsoft Corporation)
icecap_collectionresourcesx64 (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vJoy Device Driver 2.1.8.38 (Versiyon: 2.1.8.38, Yayıncı: Shaul Eizikovich)
vcpp_crt.redist.clickonce (Versiyon: 14.34.31938, Yayıncı: Microsoft Corporation)
vs_BlendMsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_CoreEditorFonts (Versiyon: 17.5.33306, Yayıncı: Microsoft Corporation)
vs_FileTracker_Singleton (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_Graphics_Singletonx64 (Versiyon: 17.7.33906, Yayıncı: Microsoft Corporation)
vs_Graphics_Singletonx86 (Versiyon: 17.7.33906, Yayıncı: Microsoft Corporation)
vs_SQLClickOnceBootstrappermsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_clickoncebootstrappermsi (Versiyon: 17.7.33927, Yayıncı: Microsoft Corporation)
vs_clickoncebootstrappermsires (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_clickoncesigntoolmsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_communitymsires (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_communitysharedmsi (Versiyon: 17.7.33906, Yayıncı: Microsoft Corporation)
vs_communityx64msi (Versiyon: 17.7.33906, Yayıncı: Microsoft Corporation)
vs_devenvsharedmsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_devenx64vmsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_filehandler_amd64 (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_filehandler_x86 (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_githubprotocolhandlermsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_minshellinteropsharedmsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_minshellinteropx64msi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_minshellmsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_minshellmsires (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_minshellsharedmsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_minshellx64msi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_tipsmsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
vs_vswebprotocolselectormsi (Versiyon: 17.7.33905, Yayıncı: Microsoft Corporation)
